time,ax,ay,az,wx,wy,wz
3.400000e+00,5.694159e-01,-6.171167e-01,-3.006149e+00,9.145101e+00,1.730347e+01,1.068624e+01
3.420000e+00,1.263972e+00,1.971899e-01,1.840173e-01,6.337484e+00,2.899170e+00,1.440938e+01
3.440000e+00,-3.119513e-01,3.507107e+00,3.187372e+00,2.568563e+01,-4.577637e-01,5.437215e+00
3.460000e+00,4.363127e+00,-6.075366e-01,9.168933e-01,-3.733317e+00,1.693726e+01,-4.046122e+01
3.480000e+00,-2.694197e+00,-3.794395e-01,-2.531935e+00,-2.977644e+00,7.404146e+00,-8.429028e+01
3.500000e+00,-3.296146e+00,2.953857e-02,3.618475e+00,1.042684e+01,-1.376343e+01,-1.036326e+02
3.520000e+00,-7.574249e-01,-1.800256e+00,-1.070973e+00,1.213582e+01,-3.189087e+01,-1.365916e+02
3.540000e+00,-3.626658e+00,-2.030178e+00,-4.218029e+00,-1.258341e+01,9.368896e+00,-1.544749e+02
3.560000e+00,-3.166815e+00,-3.919849e-01,8.115125e-01,-2.268473e+00,3.997803e+00,-1.560008e+02
3.580000e+00,-3.736829e+00,4.510620e-01,7.384644e-02,3.224691e+00,-1.669312e+01,-1.730906e+02
3.600000e+00,-4.453054e+00,9.209420e-01,2.815574e+00,-5.536761e-01,-1.332165e+01,-1.843095e+02
3.620000e+00,-4.867278e+00,8.151050e-01,2.468866e+00,-1.536051e+00,-1.040649e+01,-1.965892e+02
3.640000e+00,-3.655399e+00,4.989624e-01,3.709486e+00,1.128133e+01,-1.678467e+00,-1.930491e+02
3.660000e+00,-5.852116e-01,3.820626e-02,-2.462821e+00,-6.273542e+00,-1.138596e+01,-2.041517e+02
3.680000e+00,-3.765569e+00,1.157593e-01,-2.470862e-01,-1.264445e+01,3.204346e+00,-1.970774e+02
3.700000e+00,-3.679349e+00,1.246208e+00,2.397015e+00,7.436117e+00,1.126099e+01,-2.039744e+02
3.720000e+00,-4.710348e+00,1.467805e-01,-4.313886e-01,5.169096e+00,-2.518572e+01,-2.078109e+02
3.740000e+00,-4.469705e+00,-2.674438e-01,-6.063391e-01,-4.282633e+00,-4.974365e+00,-2.015330e+02
3.760000e+00,-5.135521e+00,1.318059e+00,1.573129e+00,-6.815592e-01,2.655029e+00,-2.102610e+02
3.780000e+00,-6.462361e+00,3.456812e-01,-1.339215e+00,1.115926e+01,-2.658081e+01,-2.094065e+02
3.800000e+00,-4.886439e+00,1.227048e+00,-1.225452e-01,-5.320231e+00,-9.429932e+00,-2.148387e+02
3.820000e+00,-6.768924e+00,-4.877856e-01,-1.267365e+00,-1.734416e+01,-1.852417e+01,-2.086131e+02
3.840000e+00,-6.620433e+00,6.139233e-01,1.443798e+00,-1.597087e+00,-1.608276e+01,-1.983592e+02
3.860000e+00,-4.685257e+00,7.959448e-01,-1.698468e+00,9.206136e+00,-2.865601e+01,-2.040965e+02
3.880000e+00,-4.321214e+00,-5.692163e-01,-1.243414e+00,-2.756755e+00,-1.260376e+01,-2.069041e+02
3.900000e+00,-5.609734e+00,1.092927e+00,4.528583e+00,-4.526774e+00,-2.548218e+01,-2.096507e+02
3.920000e+00,-3.933221e+00,1.298899e+00,3.316703e+00,1.012166e+01,1.800537e+00,-2.093455e+02
3.940000e+00,-6.749764e+00,1.782693e+00,2.004232e+00,4.781087e-01,-2.590942e+01,-2.065989e+02
3.960000e+00,-5.940247e+00,3.504712e-01,-1.583507e+00,-3.794352e+00,-1.260376e+01,-2.070872e+02
3.980000e+00,-3.909271e+00,8.151050e-01,1.630609e+00,-3.000895e+00,-1.016235e+01,-2.036082e+02
4.000000e+00,-3.847000e+00,4.366919e-01,-3.782135e+00,-1.398722e+01,-1.553345e+01,-1.854197e+02
4.020000e+00,-3.502117e+00,8.630054e-01,-2.517565e+00,-1.215617e+01,2.145386e+01,-1.591746e+02
4.040000e+00,-3.856580e+00,2.505989e+00,2.746688e+00,-6.907145e+00,-9.918213e+00,-1.119334e+02
4.060000e+00,-3.923641e+00,4.031616e-01,-7.165100e-01,-3.611247e+00,-2.969360e+01,-9.691874e+01
4.080000e+00,-3.061434e+00,2.850073e-01,-1.117277e+00,1.597087e+00,-1.351929e+01,-8.251444e+01
4.100000e+00,-2.199227e+00,1.668530e-01,-1.518043e+00,6.805420e+00,2.655029e+00,-6.811015e+01
4.120000e+00,-1.337020e+00,4.869873e-02,-1.918810e+00,1.201375e+01,1.882935e+01,-5.370585e+01
4.140000e+00,-6.765930e-02,3.504712e-01,-1.516447e+00,2.187093e+00,2.304077e+01,-4.162089e+01
4.160000e+00,-2.103426e+00,-1.812231e-01,-2.062511e+00,-6.113688e+00,1.766968e+01,-2.739970e+01
4.180000e+00,-1.969904e-01,1.227048e+00,2.741898e+00,1.097616e+01,-1.437378e+01,-2.855937e+01
4.200000e+00,-7.957452e-01,1.356379e+00,1.362367e+00,1.726278e+01,-2.273560e+01,-2.794902e+01
4.220000e+00,-6.286926e-02,-4.782056e-01,-7.260901e-01,6.581624e+00,1.260376e+01,-2.550761e+01
4.240000e+00,-7.382648e-01,-1.357178e-02,6.773914e-01,-3.184001e+00,-8.758545e+00,-1.787821e+01
4.260000e+00,5.263055e-01,-1.955933e-01,3.133484e-01,-5.808512e+00,-1.150513e+01,-7.197062e+00
4.280000e+00,5.837860e-01,1.203098e+00,9.216833e-01,-1.343791e+01,-4.302979e+00,-1.836650e+01
4.300000e+00,-1.035247e+00,-3.184578e+00,-3.183380e+00,-2.814738e+01,3.326416e+00,-1.159159e+01
4.320000e+00,5.023553e-01,-3.026506e+00,1.644979e+00,-9.165446e+00,-3.814697e+00,-7.990519e+00
4.340000e+00,1.402883e+00,-3.562991e+00,-3.715074e+00,-1.056925e+01,-3.082275e+00,-5.488078e+00
4.360000e+00,9.190887e-01,-2.528342e+00,3.277185e-01,-3.550212e+00,8.453369e+00,-3.595988e+00
4.380000e+00,1.795666e+00,1.253394e-01,-3.716272e-01,-7.578532e+00,1.577759e+01,-1.195780e+01
4.400000e+00,-2.117796e+00,2.223376e+00,5.624304e-01,1.616414e+01,-9.490967e+00,8.427938e+00
4.420000e+00,3.438649e+00,2.141946e+00,-7.404602e-01,6.642660e+00,1.034546e+01,-2.558390e+00
4.440000e+00,-2.074686e+00,1.433020e+00,1.600671e-01,2.919515e+00,5.950928e+00,-7.136027e+00
4.460000e+00,1.862726e+00,1.342009e+00,1.774310e+00,1.360067e+01,2.066040e+01,4.338582e+00
4.480000e+00,3.290158e+00,1.964714e+00,4.432782e+00,2.428182e+01,3.875732e+00,-1.293437e+01
4.500000e+00,-4.173322e-01,7.432544e-01,-2.039758e-01,-4.892985e+00,5.279541e+00,-2.802531e+00
4.520000e+00,-1.293909e+00,1.140828e+00,-6.877698e-01,3.560384e-01,-4.180908e+00,1.714071e+00
4.540000e+00,-1.542991e+00,1.073767e+00,1.668929e+00,6.612142e-01,-6.195068e+00,-2.802531e+00
